q_id,muc_danh_gia,cau_hoi
65,Tokenomics,Hơn 30% doanh thu dùng tăng giá trị token không?
66,Tokenomics,Có cơ chế đo lường cụ thể incentive dựa trên đóng góp không?
67,Tokenomics,Có cơ chế phạt (slashing) cho hành vi độc hại không?
68,Tokenomics,Tokenomics có thể điều chỉnh tham số khi thị trường thay đổi không?
69,Tokenomics,Unlock TGE cho early participants <5%?
70,Tokenomics,50% token phát hành trong >2 năm?
71,Tokenomics,Token phát hành hàng tháng <50% volume giao dịch TB 30 ngày?
72,Tokenomics,"Vesting tuyến tính, không unlock sốc?"
73,Hiệu suất thị trường,Giá token hiện tại > giá vòng gọi vốn sớm?
74,Hiệu suất thị trường,Giá token hiện tại > giá TGE?
75,Hiệu suất thị trường,Max drawdown <80%?
76,Hiệu suất thị trường,Max drawdown <50%?
77,Hiệu suất thị trường,Max drawdown <20%?
78,Hiệu suất thị trường,Token đã niêm yết ≥1 CEX top 10?
79,Hiệu suất thị trường,Token đã niêm yết ≥3 CEX top 10?
