"project_id";"questions_main";"questions_details";"result (yes =1/ no = 0)";"detail";"source"
;"Số lượng trung bình số người đóng góp trên Github hàng tháng?";"Trung bình có từ 1- 5 người đóng góp cho github mỗi tháng ?";;;
;;"Trung bình có từ 6-10 người đóng góp cho github mỗi tháng ?";;;
;;"Trung bình có trên 10 người đóng góp cho github mỗi tháng ?";;;
;"Số lượng commit trên github 2 tháng gần nhất";"Có từ 10 - 50 commit trong 2 tháng gấn nhất?";;;
;;"Có từ 51 - 100 commit trong 2 tháng gần nhất?";;;
;"Có hơn 100 commit trong 2 tháng gần nhất?";"Có hơn 100 commit trong 2 tháng gần nhất?";;;
;"Trên 50% đội ngũ lãnh đạo có công khai thông tin không?";"Trên 50% đội ngũ lãnh đạo có công khai thông tin không?";;;
;"Chuyên môn của 50% đội ngũ lãnh đạo có trực tiếp liên quan đến lĩnh vực dự án đang xây dựng không ?";"Chuyên môn của 50% đội ngũ lãnh đạo có trực tiếp liên quan đến lĩnh vực dự án đang xây dựng không ?";;;
;"Trên 50% đội ngũ lãnh đạo có kinh nghiệm >2 năm trong ngành crypto không?";"Trên 50% đội ngũ lãnh đạo có kinh nghiệm >2 năm trong ngành crypto không?";;;
;"Dự án có it nhất một thành viên lãnh đạo có kinh nghiệm về phát triển kinh doanh, marketing hoặc gọi vốn thành công trước đây không?";"Dự án có it nhất một thành viên lãnh đạo có kinh nghiệm về phát triển kinh doanh, marketing hoặc gọi vốn thành công trước đây không?";;;
;"Đội ngũ sáng lập đã từng xây dựng một sản phẩm công nghệ (crypto hoặc không) và ra mắt thành công đến tay người dùng chưa?";"Đội ngũ sáng lập đã từng xây dựng một sản phẩm công nghệ (crypto hoặc không) và ra mắt thành công đến tay người dùng chưa?";;;
;"Đội ngũ có duy trì hoạt động phát triển (GitHub, marketing, AMA) một cách đều đặn ngay cả khi thị trường downtrend không?";"Đội ngũ có duy trì hoạt động phát triển (GitHub, marketing, AMA) một cách đều đặn ngay cả khi thị trường downtrend không?";;;
;"Đội ngũ sáng lập chưa từng dính vào các cáo buộc lừa đảo, ""rug pull"" hoặc các bê bối lớn nào đúng không?";"Đội ngũ sáng lập chưa từng dính vào các cáo buộc lừa đảo, ""rug pull"" hoặc các bê bối lớn nào đúng không?";;;
;"Đội ngũ sáng lập đã từng được các quỹ đầu tư (VCs) uy tín rót vốn hoặc các nhà phát triển nổi tiếng khác trong ngành công nhận và nhắc đến một cách tích cực không?";"Đội ngũ sáng lập đã từng được các quỹ đầu tư (VCs) uy tín rót vốn hoặc các nhà phát triển nổi tiếng khác trong ngành công nhận và nhắc đến một cách tích cực không?";;;
;"Có founder nào có lượng theo dõi trên 5k trên X không?";"Có founder nào có lượng theo dõi trên 5k trên X không?";;;
;"Dự án có lượng người follow trên X > 50,000?";"Dự án có lượng người follow trên X > 50,000?";;;
;"Dự án có thành viên trên Telegram > 50,000?";"Dự án có thành viên trên Telegram > 50,000?";;;
;"Dự án có thành viên trên Discord > 20,000?";"Dự án có thành viên trên Discord > 20,000?";;;
;"Dự án có cộng đồng bản địa chính thức trên 3 quốc gia không?";"Dự án có cộng đồng bản địa chính thức trên 3 quốc gia không?";;;
;"Dự án có các chiến lược thu hút người dùng mới bền vững không? (Ambassador, Retroactive, KOL, Partner,...)";"Dự án có các chiến lược thu hút người dùng mới bền vững không? (Ambassador, Retroactive, KOL, Partner,...)";;;
;"Tỷ lệ tương tác (engagement rate) trung bình trên các bài đăng gần nhất trên X có > 2% số thành viên không?";"Tỷ lệ tương tác (engagement rate) trung bình trên các bài đăng gần nhất trên X có > 2% số thành viên không?";;;
;"Dự án có tổ chức các buổi AMA, Workshop hoặc sự kiện cộng đồng định kỳ (ít nhất 1 lần/tháng) không?";"Dự án có tổ chức các buổi AMA, Workshop hoặc sự kiện cộng đồng định kỳ (ít nhất 1 lần/tháng) không?";;;
;"Dự án có được > 10 smart follower trên X không?";"Dự án có được > 10 smart follower trên X không?";;;
;"Dự án chưa từng bị tố cáo lừa đảo (scam) hoặc dính vào các scandal lớn gây ảnh hưởng nghiêm trọng đến danh tiếng?";"Dự án chưa từng bị tố cáo lừa đảo (scam) hoặc dính vào các scandal lớn gây ảnh hưởng nghiêm trọng đến danh tiếng?";;;
;"Sentiment từ cộng đồng chủ yếu là tích cực trong 1 tháng gần nhất ?";"Sentiment từ cộng đồng chủ yếu là tích cực trong 1 tháng gần nhất ?";;;
;"Dự án có công khai danh sách nhà đầu tư (backers) và được xác thực bởi các nguồn tin cậy không?";"Dự án có công khai danh sách nhà đầu tư (backers) và được xác thực bởi các nguồn tin cậy không?";;;
;"Dự án có được đầu tư bởi các nhà đầu tư cá nhân (angel investors) là founder của các dự án thành công khác hoặc có tầm ảnh hưởng lớn trong ngành không?";"Dự án có được đầu tư bởi các nhà đầu tư cá nhân (angel investors) là founder của các dự án thành công khác hoặc có tầm ảnh hưởng lớn trong ngành không?";;;
;"Dự án có được đầu tư bởi các quỹ Tier-3 chuyên về crypto không?";"Dự án có được đầu tư bởi các quỹ Tier-3 chuyên về crypto không?";;;
;"Dự án có được đầu tư bởi các quỹ Tier-2 chuyên về crypto (ví dụ: Polychain, Dragonfly, Framework, Multicoin) không?";"Dự án có được đầu tư bởi các quỹ Tier-2 chuyên về crypto (ví dụ: Polychain, Dragonfly, Framework, Multicoin) không?";;;
;"Dự án có được đầu tư bởi ít nhất một quỹ Tier-1 (ví dụ: a16z, Paradigm, Sequoia, Binance Labs, Electric Capital) không?";"Dự án có được đầu tư bởi ít nhất một quỹ Tier-1 (ví dụ: a16z, Paradigm, Sequoia, Binance Labs, Electric Capital) không?";;;
;"Quỹ đầu tư Tier-1/Tier-2 có đóng vai trò là nhà đầu tư dẫn dắt (lead investor) trong vòng gọi vốn không?";"Quỹ đầu tư Tier-1/Tier-2 có đóng vai trò là nhà đầu tư dẫn dắt (lead investor) trong vòng gọi vốn không?";;;
;"Backer có các nhà tạo lập thị trường (MM) lớn (Jump Trading, Winter mute) để đảm bảo thanh khoản khi niêm yết không?";"Backer có các nhà tạo lập thị trường (MM) lớn (Jump Trading, Winter mute) để đảm bảo thanh khoản khi niêm yết không?";;;
;"Dự án có quan hệ đối tác chiến lược với các dự án/hệ sinh thái top 50 CMC để có được các giá trị tăng trưởng như tích hợp sản phẩm hoặc chia sẻ người dùng không?";"Dự án có quan hệ đối tác chiến lược với các dự án/hệ sinh thái top 50 CMC để có được các giá trị tăng trưởng như tích hợp sản phẩm hoặc chia sẻ người dùng không?";;;
;"Dự án có cung cấp giải pháp/ sản phẩm/ nền tảng cho các công ty Web2 có lượng người dùng lớn hơn 10 triệu không ?";"Dự án có cung cấp giải pháp/ sản phẩm/ nền tảng cho các công ty Web2 có lượng người dùng lớn hơn 10 triệu không ?";;;
;"Dự án có cung cấp giải pháp/ sản phẩm/ nền tảng cho các tổ chức chính phủ không ?";"Dự án có cung cấp giải pháp/ sản phẩm/ nền tảng cho các tổ chức chính phủ không ?";;;
;"Có mô tả rõ ràng và công khai về tỷ lệ phân bổ cho các nhóm chính trong tài liệu công khai không (Team sáng lập, nhà đầu tư, cộng đồng, quỹ phát triển,...) ?";"Có mô tả rõ ràng và công khai về tỷ lệ phân bổ cho các nhóm chính trong tài liệu công khai không (Team sáng lập, nhà đầu tư, cộng đồng, quỹ phát triển,...) ?";;;
;"Dự án có mô tả rõ ràng và công khai về thời gian phân bổ tokenomics trong tài liệu không ?";"Dự án có mô tả rõ ràng và công khai về thời gian phân bổ tokenomics trong tài liệu không ?";;;
;"Tổng thời gian phân bổ cho toàn bộ token có bằng hoặc nhiều hơn 4 năm không ?";"Tổng thời gian phân bổ cho toàn bộ token có bằng hoặc nhiều hơn 4 năm không ?";;;
;"Tổng thời gian vesting của đội ngũ có lớn hơn hoặc bằng 4 năm với thời gian cliff tối thiểu 1 năm không?";"Tổng thời gian vesting của đội ngũ có lớn hơn hoặc bằng 4 năm với thời gian cliff tối thiểu 1 năm không?";;;
;"Tổng thời gian vesting của nhà đầu tư có lớn hơn hoặc bằng 2 năm với thời gian cliff tối thiểu 6 tháng không?";"Tổng thời gian vesting của nhà đầu tư có lớn hơn hoặc bằng 2 năm với thời gian cliff tối thiểu 6 tháng không?";;;
;"Tổng cung tối đa của token (Max Supply) có được xác định rõ và cố định không?";"Tổng cung tối đa của token (Max Supply) có được xác định rõ và cố định không?";;;
;"Tỷ lệ lạm phát có thấp hơn 5% mỗi năm không (Cho dự án có nguồn cung tăng) ?";"Tỷ lệ lạm phát có thấp hơn 5% mỗi năm không (Cho dự án có nguồn cung tăng) ?";;;
;"Có cơ chế kiểm soát lạm phát không (halving, đốt coin, giảm tỷ lệ phát hành khi mạng lưới trưởng thành) ?";"Có cơ chế kiểm soát lạm phát không (halving, đốt coin, giảm tỷ lệ phát hành khi mạng lưới trưởng thành) ?";;;
;"Token có phải là phương tiện bắt buộc để sử dụng cho tối thiểu một sản phẩm/ dịch vụ của dự án không ( Thanh toán, Quản trị/Bỏ phiếu, quyền truy cập, giảm giá, ...) ?";"Token có phải là phương tiện bắt buộc để sử dụng cho tối thiểu một sản phẩm/ dịch vụ của dự án không ( Thanh toán, Quản trị/Bỏ phiếu, quyền truy cập, giảm giá, ...) ?";;;
;"Token có phải là phương tiện bắt buộc để sử dụng cho nhiều hơn hoặc bằng 3 sản phẩm/ dịch vụ của dự án không ?";"Token có phải là phương tiện bắt buộc để sử dụng cho nhiều hơn hoặc bằng 3 sản phẩm/ dịch vụ của dự án không ?";;;
;"Dự án có cơ chế khuyến khích giảm lưu thông token trên thị trường không ? (Khóa, stake dài hạn)";"Dự án có cơ chế khuyến khích giảm lưu thông token trên thị trường không ? (Khóa, stake dài hạn)";;;
;"Dự án có cơ chế khuyến khích thúc đẩy việc đóng góp của cộng đồng không ? (cung cấp thanh khoản, tham gia quản trị)";"Dự án có cơ chế khuyến khích thúc đẩy việc đóng góp của cộng đồng không ? (cung cấp thanh khoản, tham gia quản trị)";;;
;"Doanh thu từ giao thức có được dùng một phần để mua lại token trên thị trường (buyback) không?";"Doanh thu từ giao thức có được dùng một phần để mua lại token trên thị trường (buyback) không?";;;
;"Có cơ chế chia sẻ phần thưởng từ doanh thu dự án cho người nắm giữ hoặc stake token không ?";"Có cơ chế chia sẻ phần thưởng từ doanh thu dự án cho người nắm giữ hoặc stake token không ?";;;
;"Có hơn 30% doanh thu sẽ dùng cho mục tiêu gia tăng giá trị cho token không ? (Quỹ thưởng, buy back & burn)";"Có hơn 30% doanh thu sẽ dùng cho mục tiêu gia tăng giá trị cho token không ? (Quỹ thưởng, buy back & burn)";;;
;"Dự án có cơ chế đo lường cụ thể phần khuyến khích dựa trên đóng góp không?";"Dự án có cơ chế đo lường cụ thể phần khuyến khích dựa trên đóng góp không?";;;
;"Có cơ chế phạt (ví dụ: slashing) cho các hành vi độc hại hoặc gây tổn hại cho giao thức không?";"Có cơ chế phạt (ví dụ: slashing) cho các hành vi độc hại hoặc gây tổn hại cho giao thức không?";;;
;"Thiết kế tokenomics có cho phép điều chỉnh các thông số (ví dụ: tỷ lệ phần thưởng, phí) để thích ứng với điều kiện thị trường thay đổi trong tương lai không?";"Thiết kế tokenomics có cho phép điều chỉnh các thông số (ví dụ: tỷ lệ phần thưởng, phí) để thích ứng với điều kiện thị trường thay đổi trong tương lai không?";;;
;"Tỷ lệ mở khóa ở TGE cho early participants có <5% tổng cung không?";"Tỷ lệ mở khóa ở TGE cho early participants có <5% tổng cung không?";;;
;"Thời gian để 50% token được phát hành ban đầu có lớn hơn 2 năm không?";"Thời gian để 50% token được phát hành ban đầu có lớn hơn 2 năm không?";;;
;"Lượng token phát hành hàng tháng có nhỏ hơn 50% khối lượng giao dịch trung bình hàng ngày (của 30 ngày gần nhất) không?";"Lượng token phát hành hàng tháng có nhỏ hơn 50% khối lượng giao dịch trung bình hàng ngày (của 30 ngày gần nhất) không?";;;
;"Lịch trình trả token (vesting) cho đội ngũ và nhà đầu tư có được thiết kế để trả dần theo từng đợt nhỏ, thay vì mở khóa một lượng lớn tại một thời điểm không? (Linear)";"Lịch trình trả token (vesting) cho đội ngũ và nhà đầu tư có được thiết kế để trả dần theo từng đợt nhỏ, thay vì mở khóa một lượng lớn tại một thời điểm không? (Linear)";;;
;"Giá token hiện tại có cao hơn giá của các vòng gọi vốn sớm không ?";"Giá token hiện tại có cao hơn giá của các vòng gọi vốn sớm không ?";;;
;"Giá token hiện tại có cao hơn giá khi TGE không ?";"Giá token hiện tại có cao hơn giá khi TGE không ?";;;
;"Tỷ lệ max drawndown trong 1 năm cao hay thấp";"Tỷ lệ Max drawdown < 80% không ?";;;
;;"Tỷ lệ Max drawdown < 50% không ?";;;
;;"Tỷ lệ Max drawdown < 20% không ?";;;
;"Số lượng CEX lising token là bao nhiêu?";"Token đã được niêm yết lên ít nhất 1 sàn CEX top 10?";;;
;;"Token đã được niêm yết lên ít nhất 3 sàn CEX top 10?";;;
;"Token đã được niêm yết lên các sàn CEX top đầu (Binance, Coinbase)";"Token đã được niêm yết lên các sàn CEX top đầu (Binance, Coinbase)";;;
;"Volume giao dịch trung bình token trong 24h ở mức nào?";"Token có vol giao dịch trung bình 24 giờ trong tháng đạt dưới 10 triệu $ ?";;;
;;"Token có vol giao dịch trung bình 24 giờ trong tháng đạt từ 10 triệu - 50 triệu $ ?";;;
;;"Token có vol giao dịch trung bình 24 giờ trong tháng đạt từ 50 triệu - 100 triệu $ ?";;;
;;"Token có vol giao dịch trung bình 24 giờ trong tháng đạt từ 100 triệu - 300 triệu $ ?";;;
;;"Token có vol giao dịch trung bình 24 giờ trong tháng đạt trên 300 triệu $ ?";;;
;"Số lượng ví holder trong 1 tháng gần nhất";"Số lượng ví holder có tăng ổn định >5% trong 1 tháng gần nhất ?";;;
;;"Số lượng ví holder có tăng ổn định >15% trong 1 tháng gần nhất ?";;;
;;"Số lượng ví holder có tăng ổn định >30% trong 1 tháng gần nhất ?";;;
;;"Số lượng ví holder có tăng ổn định >50% trong 1 tháng gần nhất ?";;;
;;"Có ví cá mập (Tài sản trên 500k usd) mua và nắm giữ token dự án không ?";;;
;"Tốc độ tăng trưởng người dùng hoạt động";"Tốc độ tăng trưởng người dùng hoạt động hàng tháng >5%";;;
;;"Tốc độ tăng trưởng người dùng hoạt động hàng tháng >10%";;;
;;"Tốc độ tăng trưởng người dùng hoạt động hàng tháng >20%";;;
